id,created_at,name,price
cbd1696a-a7aa-4164-8f27-baf71ba17be2,2022-08-02T08:35:23.200-04:00,Mens Contraption,12.95
df93ef5c-6cf0-47bd-b384-01cc8ef28468,2012-12-01T18:41:17.866-03:00,Toy Instrument,165
598d2c52-95a6-4702-a6a0-21d03a61bcfb,2012-06-04T05:22:13.660-04:00,Computer Paraphernalia,83.95
c3b193f8-2866-4b0d-8d40-60afdb0cc89d,2016-09-29T21:08:42.100-04:00,Gardening Implement,176
74cf103b-2c69-43a6-85f2-b5ef0221a884,2010-09-20T03:37:08.143-04:00,Medicine Implement,36.99
dead5705-2538-44fa-b92e-715fcc4bcc98,2020-09-26T12:54:43.273-04:00,Biking Tool,77.95
82b874e1-251f-4d2a-9133-29898ab87a2d,2010-07-02T20:18:11.565-04:00,Bedding Supplies,163.95
57c701ab-5ca1-408a-b14d-00e7d4be0d1b,2011-09-25T20:17:36.055-04:00,Truck Mechanism,114.95
adc7e1bb-61f3-41d6-9820-438bad88c91f,2021-01-09T22:13:06.189-04:00,Cleaning Contraption,166
54576dfa-91d6-4501-8cc8-e89c4927ce2c,2013-05-09T04:45:15.765-04:00,Mens Accessory,111.95
15a1752c-d5db-42a1-9706-8db83ef4cc5f,2021-10-18T12:35:24.264-04:00,Book Apparatus,127.99
16822154-9bd0-4320-870b-a106ad48a76f,2018-08-15T10:55:40.827-04:00,Storage Tool,19
dcc86b3c-0915-4b83-bdc0-311380fd03c8,2016-03-28T00:01:29.022-04:00,Cat Accessory,199.95
c18f4289-1103-4f5c-8915-9a5490fbb6ce,2014-01-28T09:47:40.708-03:00,Book Gear,160.99
3a0c024e-3779-4fdb-ae15-69ccb4b1ab25,2017-07-06T15:49:13.090-04:00,Baby Thingamajig,184.95
89863008-3b99-442d-91a4-03f990cfee96,2016-02-20T00:12:27.908-03:00,Cleaning Whatchamacallit,98.95
f15e65df-65a3-4937-a60e-0ae6470bc685,2010-10-30T23:42:27.499-03:00,Nutrition Device,118.99
05916000-0833-4662-8bff-fb8742ae0f6e,2019-03-15T11:26:25.721-04:00,Dog Implement,84.95
